zarobki_min,zarobki_max,nazwa,miasto,zdalnie,Unnamed: 0,zarobki
Brak danych,Brak danych,Middleware Specialist – various projects,"Warszawa, +7 locations",Tak,,
Brak danych,Brak danych,Wintel/VMware Administrator,"Wrocław, +7 locations",Tak,,
Brak danych,Brak danych,Network Specialist,Warszawa,Nie,,
Brak danych,Brak danych,Application Support Consultant,Warszawa,Nie,,
Brak danych,Brak danych,Salesforce Admin,Wrocław,Tak,,
Brak danych,Brak danych,Citrix Administrator,Katowice,Nie,,
7 000,9 000,Junior Cloud System Administrator,Wrocław,Nie,,
Brak danych,Brak danych,Junior IT Admin,Łódź,Nie,,
Brak danych,Brak danych,Wintel Administrator,Warszawa,Tak,,
8 000,12 000,System Administrator,Bielsko-Biała,Nie,,
12 000,15 600,Atlassian Admin (Jira/Confluence),Wrocław,Tak,,
Brak danych,Brak danych,Młodszy administrator,Poznań,Nie,,
Brak danych,Brak danych,Junior System Administrator/Local IT,Warszawa,Nie,,
Brak danych,Brak danych,Administrator IT,Gdynia,Nie,,
5 000,9 000,Administrator Systemów IT,"Wrocław, +4 locations",Tak,,
Brak danych,Brak danych,Oracle Database Administrator,Wrocław,Nie,,
4 000,6 000,Junior IT Specialist,Warszawa,Nie,,
Brak danych,Brak danych,Administrator IT,Warszawa,Nie,,
Brak danych,Brak danych,Administrator Systemów,Warszawa,Nie,,
13 000,20 000,Administrator Baz Danych PostgreSQL,"Katowice, +2 locations",Tak,,
8 000,11 000,Administrator Sieci i Systemów,Warszawa,Nie,,
Brak danych,Brak danych,Big Data Platform Engineer,Warszawa,Tak,,
7 000,14 000,System Administrator,Łódź,Nie,,
Brak danych,Brak danych,Systems Administrator,"Wrocław, +2 locations",Tak,,
14 000,20 000,Head of IT Administration,Warszawa,Nie,,
Brak danych,Brak danych,Junior Linux Operator,"Wrocław, +2 locations",Tak,,
18 000,23 000,M365 Admin/L3 Support (PowerBI),Wrocław,Tak,,
6 720,10 080,Linux Engineer,Warszawa,Tak,,
Brak danych,Brak danych,IT Operations Engineer - Linux,Rzeszów,Tak,,
Brak danych,Brak danych,Specjalista ds. IT,"Gorlice, +1 location",Nie,,
8 000,16 000,Administrator systemów IT / DevOps,Rzeszów,Nie,,
9 500,19 000,SysOps Engineer,Zabierzów,Nie,,
14 000,18 000,Senior System Administrator,"Kraków, +1 location",Nie,,
13 600,17 800,Atlassian System Administrator,Wrocław,Tak,,
14 000,20 000,Kubernetes Engineer,Szczecin,Tak,,
14 000,20 000,Administrator LINUX / Sysadmin,Szczecin,Tak,,
15 000,17 000,Microsoft Specialist M365,Katowice,Nie,,
Brak danych,Brak danych,Use Case Operations Engineer,Łódź,Nie,,
8 000,12 000,IT Administrator / Support Specialist,Warszawa,Nie,,
15 000,20 000,System Administrator,"Warszawa, +3 locations",Tak,,
Brak danych,Brak danych,IT Administrator,Warszawa,Nie,,
Brak danych,Brak danych,Application Administrator - Wertpapier,Łódź,Nie,,
15 000,20 000,Presales Engineer z językiem niemieckim,Warszawa,Tak,,
15 750,18 900,Linux Administrator with DevOps,Kraków,Tak,,
Brak danych,Brak danych,Administrator Bazy Danych,Warszawa,Nie,,
Brak danych,Brak danych,Junior System Administrator-Application,Gdańsk,Nie,,
9 000,14 000,Administrator IT/Kierownik Zespołu,Poznań,Nie,,
8 200,12 300,"Junior Systems Engineer - Linux, Cloud",Gdańsk,Nie,,
Brak danych,Brak danych,Service Provider Admin - DevPortal,Kraków,Tak,,
Brak danych,Brak danych,Linux Administrator,Warszawa,Nie,,
Brak danych,Brak danych,Senior Software Systems Engineering,Kraków,Tak,,
Brak danych,Brak danych,Młodszy Administrator Systemów Linux,Warszawa,Nie,,
13 000,16 000,Administrator Linux,Warszawa,Tak,,
7 000,10 000,Linux System Administrator,Warszawa,Nie,,
Brak danych,Brak danych,Junior System Administrator,Gdańsk,Nie,,
Brak danych,Brak danych,Junior Systems Engineer/Windows Server,Gdańsk,Nie,,
Brak danych,Brak danych,Junior Database Administrator,Gdańsk,Nie,,
Brak danych,Brak danych,Junior Systems Engineer/Cloud,Gdańsk,Nie,,
Brak danych,Brak danych,Junior Systems Engineer/Application,Gdańsk,Nie,,
Brak danych,Brak danych,Senior Application Administrator,"Warszawa, +3 locations",Nie,,
9 000,14 000,Administrator Sieci i Systemów IT,"Częstochowa, +1 location",Nie,,
Brak danych,Brak danych,Administrator (Salesforce),Poznań,Tak,,
Brak danych,Brak danych,Administrator Sieci,Warszawa,Nie,,
Brak danych,Brak danych,Administrator systemów i aplikacji,Warszawa,Nie,,
Brak danych,Brak danych,Network Administrator,Warszawa,Nie,,
Brak danych,Brak danych,Oracle Administrator (DBS Operations),Łódź,Nie,,
Brak danych,Brak danych,Database Administrator,Gdańsk,Tak,,
Brak danych,Brak danych,Network Administration Engineer,Gdańsk,Tak,,
18 000,27 000,Senior Cloud Security Engineer,Poznań,Tak,,
16 000,18 000,Product Security Engineer,Poznań,Tak,,
16 000,18 000,Cloud Security Engineer,Poznań,Tak,,
Brak danych,Brak danych,Senior IT Security Engineer,Warszawa,Tak,,
33 600,36 960,Penetration Testing Technical Reviewer,Warszawa,Tak,,
Brak danych,Brak danych,Threat Hunter,"Bydgoszcz, +2 locations",Tak,,
Brak danych,Brak danych,Młodszy Specjalista Bezpieczeństwa IT,Kraków,Nie,,
7 000,9 000,Junior Cloud Sec&Compliance Engineer,Warszawa,Tak,,
Brak danych,Brak danych,Senior Manager ICS Controls Testing,"Warszawa, +18 locations",Tak,,
Brak danych,Brak danych,Konsultant ds. Zarządzania Bezpieczeństwem IT,Warszawa,Tak,,
13 500,24 500,Information Systems Security Engineer,Warszawa,Nie,,
Brak danych,Brak danych,Cybersecurity Engineer,Warszawa,Nie,,
17 000,23 000,Cloud Security Engineer,Kraków,Tak,,
16 700,26 000,Senior DevSecOps Engineer,Warszawa,Tak,,
Brak danych,Brak danych,"Governance, Risk and Compliance Engineer","Warszawa, +18 locations",Tak,,
Brak danych,Brak danych,Security Engineer,Oslo,Tak,,
13 000,17 000,Network Engineer,Warszawa,Tak,,
Brak danych,Brak danych,Cloud Security Specialist,"Warszawa, +2 locations",Tak,,
14 000,19 000,Cloud Security&Compliance Engineer,"Warszawa, +2 locations",Tak,,
Brak danych,Brak danych,Application Security Consultant,Warszawa,Tak,,
Brak danych,Brak danych,SOCC Analyst,Kraków,Nie,,
Brak danych,Brak danych,Java Developer all levels,"Warszawa, +2 locations",Tak,,
15 000,22 000,Cloud Security Engineer,"Kraków, +17 locations",Tak,,
14 000,22 000,Cloud Compliance Consultant,"Warszawa, +2 locations",Tak,,
Brak danych,Brak danych,Cybersecurity Consultant,"Warszawa, +2 locations",Nie,,
Brak danych,Brak danych,Cybersecurity Specialist,Dąbrowa Górnicza,Tak,,
Brak danych,Brak danych,Security Engineer for Antivirus & EDR,"Bydgoszcz, +2 locations",Tak,,
24 000,36 000,Security Engineer III,Kraków,Nie,,
Brak danych,Brak danych,Senior Security Engineer in SOC T2,"Bydgoszcz, +2 locations",Tak,,
Brak danych,Brak danych,Security Architect,"Warszawa, +1 location",Tak,,
Brak danych,Brak danych,Mł. Specjalista ds. Bezpieczeństwa IT,Warszawa,Nie,,
20 000,28 000,Product Security Engineer,"Warszawa, +2 locations",Tak,,
Brak danych,Brak danych,UTF Security Specialist,"Wrocław, +2 locations",Nie,,
5 000,7 000,Junior Pentester,Warszawa,Nie,,
13 300,24 000,Vulnerability Manager,Łódź,Nie,,
10 000,14 000,Specjalista ds. bezpieczeństwa IT,"Kraków, +1 location",Tak,,
5 000,7 000,Junior Security Analyst (SOC L1),Warszawa,Tak,,
25 200,30 000,SOC Analyst,Wrocław,Tak,,
Brak danych,Brak danych,"Director, ICS Technical Controls Testing","Warszawa, +2 locations",Tak,,
Brak danych,Brak danych,System Admin-Cybersecurity & Automation,"Bydgoszcz, +2 locations",Tak,,
Brak danych,Brak danych,Information Security Analyst CSIRT,"Bydgoszcz, +2 locations",Tak,,
Brak danych,Brak danych,Security Engineer,Kraków,Nie,,
Brak danych,Brak danych,Junior Security Officer,Kraków,Nie,,
Brak danych,Brak danych,ITS Security Controls & Risk Analyst,Warszawa,Nie,,
25 872,29 232,IT Security Consultant (SOAR Siemplify),Warszawa,Nie,,
Brak danych,Brak danych,Technology Specialist - Security,Kraków,Nie,,
Brak danych,Brak danych,SOC Engineer,Warszawa,Nie,,
Brak danych,Brak danych,Security Engineer - PPTM,Bydgoszcz,Tak,,
Brak danych,Brak danych,Threat Intelligence (TI) Analyst,Bydgoszcz,Tak,,
Brak danych,Brak danych,Specjalista ds. Bezpieczeństwa IT,"Sopot, +2 locations",Nie,,
18 000,24 000,Cloud Infrastructure Security Engineer,Warszawa,Tak,,
38 000,44 000,Security Penetration Testing QA,Warszawa,Tak,,
13 000,18 000,Infrastructure Security Engineer,"Гданьск, +18 locations",Tak,,
Brak danych,Brak danych,Functional Safety Academy - Trainee,Szczecin,Nie,,
Brak danych,Brak danych,Junior Security Analyst (Vulnerability),Warszawa,Tak,,
Brak danych,Brak danych,IT Security Specialist,Warszawa,Nie,,
32 940,47 520,Senior Cloud Security Engineer,"London, +18 locations",Tak,,
3 200,3 500,Praktyki w Dep. Global IT - Bezp. Infor.,Warszawa,Nie,,
3 200,3 500,Praktyki w Dep. Global IT Security Team,Warszawa,Nie,,
Brak danych,Brak danych,IT Security Specialist,Warszawa,Nie,,
32 940,47 520,Senior Cloud Security Engineer,"London, +18 locations",Tak,,
3 200,3 500,Praktyki w Dep. Global IT - Bezp. Infor.,Warszawa,Nie,,
3 200,3 500,Praktyki w Dep. Global IT Security Team,Warszawa,Nie,,
Brak danych,Brak danych,Cyber Security Engineer,"Katowice, +18 locations",Tak,,
21 840,38 640,Cloud & Network Security Architect,Warszawa,Nie,,
21 840,38 640,Cyber Defence Architect,Warszawa,Nie,,
9 500,19 000,Cybersecurity Analyst with German,Warszawa,Tak,,
4 000,8 000,Junior Cybersecurity with German,Warszawa,Tak,,
13 000,15 000,Junior Cyber Threat Analyst,Warszawa,Nie,,
Brak danych,Brak danych,Global System Engineer (Security),Katowice,Nie,,
Brak danych,Brak danych,IT Quality and Security Expert,Katowice,Nie,,
6 000,9 000,Mł. specjalista ds. bezpieczeństwa IT,Sopot,Nie,,
Brak danych,Brak danych,IT Security Engineer,"Wrocław, +4 locations",Tak,,
12 000,20 000,Mł. / Inżynier ds. bezpieczeństwa,Warszawa,Tak,,
Brak danych,Brak danych,Specjalista ds. bezpieczeństwa informacji,Sopot,Nie,,
Brak danych,Brak danych,Software Security Architect,Oslo,Tak,,
Brak danych,Brak danych,Senior Security Officer (DevSecOps),"Gdynia, +1 location",Nie,,
Brak danych,Brak danych,Lead Security Engineer,Warszawa,Nie,,
Brak danych,Brak danych,Security Generalist,Warszawa,Tak,,
Brak danych,Brak danych,Cybersecurity Consultant,Warsaw,Tak,,
Brak danych,Brak danych,IAM Security Consultant,Warszawa,Tak,,
Brak danych,Brak danych,Cybersecurity Engineer (WAF),Warszawa,Nie,,
Brak danych,Brak danych,Senior Security Architect (DevSecOps),Warszawa,Nie,,
Brak danych,Brak danych,IT Security Expert,Gdynia,Nie,,
Brak danych,Brak danych,Junior Information Security Officer,Wrocław,Nie,,
Brak danych,Brak danych,Senior Cyber Security Engineer,"Gdańsk, +1 location",Tak,,
11 000,20 000,Security Architect,Kraków,Tak,,
5 500,8 800,Junior SecOps Specialist,Warszawa,Nie,,
10 000,14 000,Business Applications Security Engineer - Inżynier ds. Bezpieczeństwa IT (aplikacje biznesowe),Warszawa,Nie,,
Brak danych,Brak danych,Junior Network Security Engineer,Gdańsk,Nie,,
16 800,25 200,Konsultant SAP,"Warszawa, +2 locations",Tak,,
10 000,12 000,ERP Support Consultant,Gliwice,Tak,,
12 000,14 000,Support Engineer,Gliwice,Tak,,
Brak danych,Brak danych,SAP Application Maintenance Consultant,"Warszawa, +2 locations",Tak,,
Brak danych,Brak danych,Dynamics CRM Developer,"Wrocław, +2 locations",Tak,,
12 000,17 500,Programista SAP – ABAP/Fiori,Warszawa,Tak,,
Brak danych,Brak danych,Senior SAP Basis Specialist,"Gdańsk, +1 location",Tak,,
Brak danych,Brak danych,SAP ABAP Developer,"Gdańsk, +1 location",Tak,,
Brak danych,Brak danych,Junior ERP specialist,Komorniki,Nie,,
Brak danych,Brak danych,ABAP Developer,"Warszawa, +2 locations",Tak,,
Brak danych,Brak danych,Technology Specialist - Integration,Kraków,Nie,,
Brak danych,Brak danych,Finance BI Specialist,Kraków,Nie,,
Brak danych,Brak danych,Senior SAP PP Consultant,"Warszawa, +2 locations",Tak,,
Brak danych,Brak danych,SAP Consultant / Senior Consultant,"Warszawa, +2 locations",Tak,,
Brak danych,Brak danych,Applied Intelligence FinCrime Consultant,Warsaw,Nie,,
9 000,15 700,Salesforce Consultant,"Wrocław, +3 locations",Tak,,
18 480,23 184,eCommerce Strategist,Kraków,Nie,,
34 000,39 000,SAP Commerce Cloud / Hybris Frontend Dev. for Samsung SDS,"Gdańsk, +1 location",Tak,,
8 600,12 300,Specjalista/Konsultant ds. wdrożeń (WMS),Wrocław,Nie,,
Brak danych,Brak danych,HT Functional Consultant with ERP Industry Solutions all levels,"Warszawa, +2 locations",Tak,,
8 600,12 300,Specjalista/Konsultant ds. wdrożeń (ERP),Wrocław,Tak,,
Brak danych,Brak danych,Developer Narzędzi Prowizyjnych,Warszawa,Nie,,
16 000,22 000,SAP MM Application Consultant,Kraków,Tak,,
Brak danych,Brak danych,SAP Architect (FI/CO),Kraków,Nie,,
Brak danych,Brak danych,Specjalista ds. wdrożeń ERP,Katowice,Nie,,
Brak danych,Brak danych,Product Owner - Microsoft Dynamics AX,Warszawa,Tak,,
Brak danych,Brak danych,SAP (FI-CO) Functional Consultant,"Kraków, +1 location",Nie,,
7 000,8 200,Młodszy Programista Aplikacji Biznesowych,Wrocław,Nie,,
Brak danych,Brak danych,Konsultant Techniczny - Programista,Kraków,Nie,,
Brak danych,Brak danych,Konsultant systemów ERP,Warszawa,Tak,,
25 000,30 000,SAP FI/CO Consultant,"Łódź, +2 locations",Tak,,
Brak danych,Brak danych,SAP IBP Consultant,Wrocław,Tak,,
14 000,19 000,Senior SAP FI/CO Konsultant,Kraków,Nie,,
Brak danych,Brak danych,SAP ABAP Developer,"Warszawa, +2 locations",Tak,,
6 000,10 000,Junior SAP Cloud Consultant,Wrocław,Nie,,
8 000,16 000,SAP ABAP Developer,"Katowice, +2 locations",Nie,,
Brak danych,Brak danych,SAP SD Consultant,"Warszawa, +2 locations",Tak,,
Brak danych,Brak danych,IT Project Manager / PMO Support,"Warszawa, +1 location",Tak,,
7 000,8 200,Młodszy Programista SQL,Wrocław,Nie,,
Brak danych,Brak danych,Finance Platforms Consultant,Kraków,Nie,,
10 000,20 000,IT Service Management Expert,"Kraków, +1 location",Tak,,
Brak danych,Brak danych,SAP SD Consultant,"Wrocław, +2 locations",Nie,,
Brak danych,Brak danych,Systems Consultant,"Tczew, +1 location",Nie,,
Brak danych,Brak danych,SAP Application Specialist,"Tczew, +1 location",Nie,,
Brak danych,Brak danych,Scrum Master,"Starogard Gdański, +1 location",Nie,,
Brak danych,Brak danych,Salesforce Developer,Warszawa,Tak,,
Brak danych,Brak danych,Analityk Biznesowo-Systemowy,Bolszewo,Nie,,
Brak danych,Brak danych,Integrator ERP - CDN XL,Poznań,Nie,,
Brak danych,Brak danych,Specjalista ds. systemów ERP,Krotoszyn,Nie,,
15 000,20 000,SAP B1 Implementations Consultant,"Park West, +19 locations",Tak,,
Brak danych,Brak danych,Release Manager,"Sopot, +2 locations",Nie,,
Brak danych,Brak danych,ERP Consultant Service Logistics,"Zielona Góra, +2 locations",Tak,,
Brak danych,Brak danych,ERP Consultant Service Finance,"Zielona Góra, +2 locations",Tak,,
Brak danych,Brak danych,Ekspert B+R ds. rozwoju oprogramowania dla transportu i logistyki (1/2 etatu),"Bełchatów, +2 locations",Nie,,
Brak danych,Brak danych,ABAP Developer,Katowice,Tak,,
Brak danych,Brak danych,Architekt rozwiązań SAP,"Wrocław, +2 locations",Tak,,
Brak danych,Brak danych,Projektant aplikacji chmurowych (SAP),"Wrocław, +2 locations",Tak,,
Brak danych,Brak danych,Konsultant obiegu dokumentów (SAP),"Wrocław, +2 locations",Tak,,
Brak danych,Brak danych,SAP CRM Developer,"Warszawa, +2 locations",Tak,,
Brak danych,Brak danych,C4C Developer,Wrocław,Tak,,
Brak danych,Brak danych,SAP SuccessFactors Consultant,Wrocław,Tak,,
Brak danych,Brak danych,Customer Success Manager,Wrocław,Tak,,
Brak danych,Brak danych,SAP Quality Manager,Wrocław,Tak,,
Brak danych,Brak danych,SAP Cloud Product Owner,Wrocław,Tak,,
Brak danych,Brak danych,SAP TM Consultant,Wrocław,Tak,,
Brak danych,Brak danych,ABAP Developer,Wrocław,Tak,,
Brak danych,Brak danych,SAPUI5 Developer,Wrocław,Tak,,
Brak danych,Brak danych,SAP EWM Senior Consultant,Wrocław,Tak,,
Brak danych,Brak danych,SAP HANA Developer,Wrocław,Tak,,
Brak danych,Brak danych,German-speaking presales consultant (SAP),Wrocław,Nie,,
Brak danych,Brak danych,Specjalista ds systemów magazynowych WMS,Krotoszyn,Nie,,
11 000,16 000,SAP Integration Consultant,Wrocław,Tak,,
4 000,6 000,Junior Consultant (Logistic or Finance),"Wrocław, +2 locations",Nie,,
Brak danych,Brak danych,SAP SuccessFactors Consultant,"Warszawa, +2 locations",Tak,,
Brak danych,Brak danych,SAP CRM & Sales Cloud Consultant,"Warsaw, +2 locations",Tak,,
20 800,28 800,SAP TM Consultant,"Warszawa, +2 locations",Tak,,
12 000,20 000,Senior SAP BW/BI Consultant,"Wrocław, +2 locations",Tak,,
13 000,20 500,SAP Consultant MM/WM/EWM,"Wrocław, +2 locations",Tak,,
Brak danych,Brak danych,ERP Ecosystem Specialist,Warszawa,Nie,,
Brak danych,Brak danych,SAP SuccessFactors Consultant,"Warszawa, +2 locations",Tak,,
Brak danych,Brak danych,SAP CRM & Sales Cloud Consultant,"Warsaw, +2 locations",Tak,,
20 800,28 800,SAP TM Consultant,"Warszawa, +2 locations",Tak,,
12 000,20 000,Senior SAP BW/BI Consultant,"Wrocław, +2 locations",Tak,,
13 000,20 500,SAP Consultant MM/WM/EWM,"Wrocław, +2 locations",Tak,,
Brak danych,Brak danych,ERP Ecosystem Specialist,Warszawa,Nie,,
Brak danych,Brak danych,SAP Finance Consultant (FI),Warszawa,Tak,,
8 500,9 500,Konsultant Microsoft Dynamics 365 BC,Poznań,Nie,,
10 000,16 000,Salesforce Administrator,"Wrocław, +2 locations",Tak,,
15 000,25 000,Senior Salesforce Developer,"Kraków, +1 location",Tak,,
18 000,25 000,Salesforce Enterprise Solution Architect,"Kraków, +1 location",Tak,,
Brak danych,Brak danych,Tech Consultant/ABAP Developer (SAP SD),Warszawa,Nie,,
Brak danych,Brak danych,SAP SD Consultant,Warszawa,Nie,,
Brak danych,Brak danych,ABAP Development Architect,Warszawa,Nie,,
12 000,20 000,Salesforce Business Analyst,"Wrocław, +2 locations",Tak,,
6 000,9 000,Junior SAP Business One Consultant,Warszawa,Nie,,
Brak danych,Brak danych,SAP Security & Authorizations Consultant,Warszawa,Nie,,
Brak danych,Brak danych,Program płatnych praktyk - SAP Academy,Warszawa,Nie,,
20 000,22 000,Senior Software Developer C++ - FinTech,Kraków,Tak,,
15 000,27 000,Senior C++ Developer,"Poznań, +2 locations",Tak,,
Brak danych,Brak danych,Senior C++ Developer (IOT Project),Warszawa,Nie,,
21 840,26 880,C++ Developer,"Warszawa, +2 locations",Tak,,
Brak danych,Brak danych,Embedded Software Engineer,Zabierzów,Nie,,
Brak danych,Brak danych,Senior C++ Software Engineer,"Warszawa, +2 locations",Tak,,
Brak danych,Brak danych,Programista C++,Warszawa,Nie,,
5 000,8 500,Junior Software Engineer,Warszawa,Nie,,
9 000,18 000,C++ Developer(Mid/ Regular),"Kraków, +1 location",Tak,,
5 000,8 500,Junior Engineer - Distributed systems,Warszawa,Nie,,
8 000,14 000,Programista Embedded,Bielsko-Biała,Nie,,
16 000,25 000,Software Developer,Warszawa,Tak,,
5 000,8 000,C++ Developer (POS) (Junior),Kraków,Tak,,
Brak danych,Brak danych,HW Integration Engineer,"Wrocław, +18 locations",Nie,,
19 000,24 000,C++ Developer,"Warszawa, +2 locations",Tak,,
18 000,24 000,C++ Developer,Wrocław,Tak,,
5 500,8 500,Junior Software Engineer C/C++,Komorniki,Nie,,
Brak danych,Brak danych,Programista C/C++ Systemów Embedded(k/m),Zielonka,Nie,,
15 000,20 000,FullStack Xamarin Developer,"Łódź, +2 locations",Tak,,
5 000,9 000,Junior Developer C,Warszawa,Nie,,
,,Staż - Programista C,Warszawa,Nie,,
7 500,10 000,Programista C++,"Kraków, +4 locations",Tak,,
6 500,8 000,Młodszy konsultant,"Poznań, +3 locations",Nie,,
5 000,9 000,Junior Software Engineer,Warszawa,Nie,,
5 000,8 000,Embedded Software Developer (Junior),Poznań,Nie,,
Brak danych,Brak danych,Software Developer with C/C++ and Python,Wrocław,Tak,,
5 000,7 000,Junior Embedded C Developer,Gdańsk,Nie,,
5 000,7 000,Junior Embedded C Developer,Gdańsk,Nie,,
5 000,9 000,Junior Embedded Systems Developer,Gdańsk,Nie,,
5 000,7 000,Junior Embedded Systems Developer,Gdańsk,Nie,,
Brak danych,Brak danych,Junior Test Engineer,Kraków,Tak,,
Brak danych,Brak danych,Junior Software Developer,Kraków,Tak,,
Brak danych,Brak danych,Automotive Academy Trainee,Szczecin,Nie,,
Brak danych,Brak danych,Cloud Software Engineer,Kraków,Nie,,
,,Praktyki w zespole SDN - C++ Developer,Warszawa,Tak,,
30 660,34 840,Low level engineer (C++ / Rust / Go),"Berlin, +2 locations",Nie,,
8 000,9 000,Młodszy programista Enova,Warszawa,Tak,,
23 500,25 200,Tester Embedded C/C++,Katowice,Nie,,
12 000,24 000,Rust Software Engineer,Wrocław,Tak,,
7 000,13 000,Junior Software Engineer C,Warszawa,Tak,,
12 000,18 000,C++ Developer with Linux,"Warszawa, +4 locations",Tak,,
Brak danych,Brak danych,Senior Principal System Architect,Zabierzów,Nie,,
22 000,23 500,Programista C/C++,Katowice,Tak,,
16 000,24 000,C++ Computer Vision Engineer,"Wrocław, +2 locations",Tak,,
16 700,26 600,Senior Software Engineer,Łódź,Nie,,
16 000,24 000,C++ Engineer,"Wrocław, +2 locations",Tak,,
21 100,32 000,Autosar Security Specialist,Łódź,Nie,,
Brak danych,Brak danych,Firmware Engineer,Zabierzów,Nie,,
10 000,18 000,Senior C / Linux Developer,"Łódź, +2 locations",Tak,,
22 000,29 000,Senior C++ Computer Vision Developer,"Kraków, +2 locations",Tak,,
10 000,17 300,Autosar Developer,Łódź,Nie,,
Brak danych,Brak danych,Embedded Devices Developer,Warszawa,Nie,,
5 300,8 000,Junior Embedded C++ Developer,Łódź,Nie,,
10 000,14 000,Software Engineer,Gdynia,Nie,,
Brak danych,Brak danych,5G C/C++ Software Developer,Piaseczno,Nie,,
6 600,8 900,Software Engineer,Poznań,Nie,,
15 600,24 266,C++ developer,Poznań,Tak,,
6 600,8 900,C++ Developer,Poznań,Nie,,
Brak danych,Brak danych,C/C++ Security Software Developer,Warszawa,Nie,,
Brak danych,Brak danych,SDR Software Developer,Piaseczno,Nie,,
15 000,18 480,C++ Developer,Warszawa,Tak,,
Brak danych,Brak danych,C Developer,"Łódź, +2 locations",Tak,,
Brak danych,Brak danych,Senior C++ Developer,"Wrocław, +18 locations",Tak,,
Brak danych,Brak danych,Senior C/C++ Embedded Developer,"Wrocław, +18 locations",Tak,,
30 000,40 000,Senior Software Engineer with C++,Warszawa,Tak,,
16 800,21 840,Embedded Software Engineer MID/Senior,Wrocław,Tak,,
5 000,8 000,Junior C# Developer,Wrocław,Nie,,
Brak danych,Brak danych,C++ Software Internship,Katowice,Nie,,
,,Stażysta/ka Career Starter,"Poznań, +3 locations",Nie,,
5 000,8 000,Junior C++ Developer,Wrocław,Nie,,
5 000,8 000,Junior C# Web Developer,Wrocław,Nie,,
33 000,37 000,Rust Developer Web3 (REMOTE),"Warszawa, +1 location",Tak,,
36 180,40 700,Senior Embedded Software Engineer,Zürich,Nie,,
Brak danych,Brak danych,Junior C++ Developer,"Wrocław, +18 locations",Tak,,
Brak danych,Brak danych,"Developer, High Performance C++","Wrocław, +18 locations",Tak,,
Brak danych,Brak danych,C++ Developer,"Wrocław, +18 locations",Tak,,
Brak danych,Brak danych,C/C++ Embedded Developer,"Wrocław, +18 locations",Tak,,
Brak danych,Brak danych,Internship – C/C++ Intern in IoT Project,Warszawa,Nie,,
Brak danych,Brak danych,Programista C Embedded,Gdańsk,Tak,,
Brak danych,Brak danych,Junior C++ Developer,"Wrocław, +18 locations",Tak,,
Brak danych,Brak danych,"Developer, High Performance C++","Wrocław, +18 locations",Tak,,
Brak danych,Brak danych,C++ Developer,"Wrocław, +18 locations",Tak,,
Brak danych,Brak danych,C/C++ Embedded Developer,"Wrocław, +18 locations",Tak,,
Brak danych,Brak danych,Internship – C/C++ Intern in IoT Project,Warszawa,Nie,,
Brak danych,Brak danych,Programista C Embedded,Gdańsk,Tak,,
9 800,17 300,C++ Developer,Łódź,Nie,,
12 000,20 000,Blockchain C++ Deweloper,"Dąbrowa Górnicza, +2 locations",Tak,,
13 300,24 000,Senior Software Developer,Łódź,Nie,,
13 300,24 000,C++ Developer (Mid/Senior),Łódź,Nie,,
9 000,18 000,Fullstack Software Developer,Szczecin,Tak,,
9 000,18 000,Web Software Developer {TypeScript},Szczecin,Tak,,
9 500,19 000,Programista FPGA systemów Embedded,Warszawa,Nie,,
12 000,20 000,Programista C++,Bielsko-Biała,Tak,,
13 300,24 000,Mid/Senior Software Engineer,Łódź,Nie,,
23 000,27 000,Technical Leader (embedded C & C++),"Wrocław, +3 locations",Nie,,
7 400,10 700,Junior Software Engineer,Łódź,Nie,,
14 000,20 000,Embedded C\C++ Software Developer,Wrocław,Tak,,
10 000,17 000,Programista C/C++,Warszawa,Nie,,
8 500,17 000,Embedded Systems Engineer Regular/Senior,Gdańsk,Nie,,
30 000,45 100,Senior C++ Developer (QT),"Warszawa, +2 locations",Tak,,
16 000,24 000,Senior C++ Software Engineer,Gdańsk,Nie,,
13 000,22 000,Linux C Engineer,"Wrocław, +2 locations",Tak,,
Brak danych,Brak danych,Praktyki dla programistów i testerów,Łódź,Nie,,
Brak danych,Brak danych,5G Cloud Native Junior Software Engineer,Kraków,Nie,,
Brak danych,Brak danych,C/C++ Developer for 5G RAN,Kraków,Nie,,
19 000,29 000,C++ Developer,Kraków,Tak,,
8 000,9 000,Junior C# Developer,Warszawa,Tak,,
Brak danych,Brak danych,"Senior Developer C++ Linux, Networking",Kraków,Nie,,
Brak danych,Brak danych,Network / Multiplayer Programmer,"Kraków, +2 locations",Tak,,
Brak danych,Brak danych,Junior C Developer (Automotive),"Szczecin, +1 location",Nie,,
Brak danych,Brak danych,Junior C++ Developer (Automotive),Szczecin,Nie,,
8 000,12 000,Junior Software Engineer,Wrocław,Nie,,
16 700,26 600,Embedded Principal Software Engineer,Łódź,Nie,,
10 000,15 000,Embedded Software Engineer,Wrocław,Nie,,
Brak danych,Brak danych,Internship - Computer Vision Intern,Warszawa,Nie,,
22 000,32 000,Embedded C++ Software Engineer,"Katowice, +2 locations",Tak,,
9 000,14 500,R&D Software Engineer,Wrocław,Nie,,
17 000,20 000,Team Leader (Embedded),Katowice,Nie,,
28 000,42 000,Senior Software Engineer,Warszawa,Tak,,
19 000,27 000,Senior Software Engineer C,Warszawa,Tak,,
Brak danych,Brak danych,C/C++ Developer (Windows/Security),"Wrocław, +1 location",Nie,,
21 000,27 000,"Sr Software Engineer, Rust/C","Katowice, +18 locations",Tak,,
